table_name|chunk_id|column_id|column_name|column_data_type|distinct_value_count|encoding_type|vector_compression_type|size_in_bytes
"call_center"|0|0|"cc_call_center_sk"|"int"|6|"Dictionary"|"FixedSize1ByteAligned"|94
"call_center"|0|1|"cc_call_center_id"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|273
"call_center"|0|2|"cc_rec_start_date"|"string"|4|"Dictionary"|"FixedSize1ByteAligned"|262
"call_center"|0|3|"cc_rec_end_date"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|222
"call_center"|0|4|"cc_closed_date_sk"|"int"|0|"Dictionary"|"FixedSize1ByteAligned"|70
"call_center"|0|5|"cc_open_date_sk"|"int"|3|"Dictionary"|"FixedSize1ByteAligned"|82
"call_center"|0|6|"cc_name"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|222
"call_center"|0|7|"cc_class"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|222
"call_center"|0|8|"cc_employees"|"int"|5|"Dictionary"|"FixedSize1ByteAligned"|90
"call_center"|0|9|"cc_sq_ft"|"int"|6|"Dictionary"|"FixedSize1ByteAligned"|94
"call_center"|0|10|"cc_hours"|"string"|2|"Dictionary"|"FixedSize1ByteAligned"|182
"call_center"|0|11|"cc_manager"|"string"|4|"Dictionary"|"FixedSize1ByteAligned"|262
"call_center"|0|12|"cc_mkt_id"|"int"|3|"Dictionary"|"FixedSize1ByteAligned"|82
"call_center"|0|13|"cc_mkt_class"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|485
"call_center"|0|14|"cc_mkt_desc"|"string"|4|"Dictionary"|"FixedSize1ByteAligned"|526
"call_center"|0|15|"cc_market_manager"|"string"|4|"Dictionary"|"FixedSize1ByteAligned"|262
"call_center"|0|16|"cc_division"|"int"|4|"Dictionary"|"FixedSize1ByteAligned"|86
"call_center"|0|17|"cc_division_name"|"string"|4|"Dictionary"|"FixedSize1ByteAligned"|262
"call_center"|0|18|"cc_company"|"int"|4|"Dictionary"|"FixedSize1ByteAligned"|86
"call_center"|0|19|"cc_company_name"|"string"|4|"Dictionary"|"FixedSize1ByteAligned"|262
"call_center"|0|20|"cc_street_number"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|222
"call_center"|0|21|"cc_street_name"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|222
"call_center"|0|22|"cc_street_type"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|222
"call_center"|0|23|"cc_suite_number"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|222
"call_center"|0|24|"cc_city"|"string"|1|"Dictionary"|"FixedSize1ByteAligned"|142
"call_center"|0|25|"cc_county"|"string"|1|"Dictionary"|"FixedSize1ByteAligned"|160
"call_center"|0|26|"cc_state"|"string"|1|"Dictionary"|"FixedSize1ByteAligned"|142
"call_center"|0|27|"cc_zip"|"string"|1|"Dictionary"|"FixedSize1ByteAligned"|142
"call_center"|0|28|"cc_country"|"string"|1|"Dictionary"|"FixedSize1ByteAligned"|142
"call_center"|0|29|"cc_gmt_offset"|"float"|1|"Dictionary"|"FixedSize1ByteAligned"|74
"call_center"|0|30|"cc_tax_percentage"|"float"|4|"Dictionary"|"FixedSize1ByteAligned"|86
"catalog_page"|0|0|"cp_catalog_page_sk"|"int"|11718|"Dictionary"|"FixedSize2ByteAligned"|70372
"catalog_page"|0|1|"cp_catalog_page_id"|"string"|11718|"Dictionary"|"FixedSize2ByteAligned"|691458
"catalog_page"|0|2|"cp_start_date_sk"|"int"|91|"Dictionary"|"FixedSize1ByteAligned"|12146
"catalog_page"|0|3|"cp_end_date_sk"|"int"|97|"Dictionary"|"FixedSize1ByteAligned"|12170
"catalog_page"|0|4|"cp_department"|"string"|1|"Dictionary"|"FixedSize1ByteAligned"|11854
"catalog_page"|0|5|"cp_catalog_number"|"int"|109|"Dictionary"|"FixedSize1ByteAligned"|12218
"catalog_page"|0|6|"cp_catalog_page_number"|"int"|108|"Dictionary"|"FixedSize1ByteAligned"|12214
"catalog_page"|0|7|"cp_description"|"string"|11609|"Dictionary"|"FixedSize2ByteAligned"|1365039
"catalog_page"|0|8|"cp_type"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|11934
"catalog_returns"|0|0|"cr_returned_date_sk"|"int"|1576|"Dictionary"|"FixedSize2ByteAligned"|206368
"catalog_returns"|0|1|"cr_returned_time_sk"|"int"|55418|"Dictionary"|"FixedSize2ByteAligned"|421736
"catalog_returns"|0|2|"cr_item_sk"|"int"|14322|"Dictionary"|"FixedSize2ByteAligned"|257352
"catalog_returns"|0|3|"cr_refunded_customer_sk"|"int"|47598|"Dictionary"|"FixedSize2ByteAligned"|390456
"catalog_returns"|0|4|"cr_refunded_cdemo_sk"|"int"|63645|"Dictionary"|"FixedSize2ByteAligned"|454644
"catalog_returns"|0|5|"cr_refunded_hdemo_sk"|"int"|7200|"Dictionary"|"FixedSize2ByteAligned"|228864
"catalog_returns"|0|6|"cr_refunded_addr_sk"|"int"|36198|"Dictionary"|"FixedSize2ByteAligned"|344856
"catalog_returns"|0|7|"cr_returning_customer_sk"|"int"|62134|"Dictionary"|"FixedSize2ByteAligned"|448600
"catalog_returns"|0|8|"cr_returning_cdemo_sk"|"int"|95120|"Dictionary"|"FixedSize4ByteAligned"|780544
"catalog_returns"|0|9|"cr_returning_hdemo_sk"|"int"|7200|"Dictionary"|"FixedSize2ByteAligned"|228864
"catalog_returns"|0|10|"cr_returning_addr_sk"|"int"|42829|"Dictionary"|"FixedSize2ByteAligned"|371380
"catalog_returns"|0|11|"cr_call_center_sk"|"int"|5|"Dictionary"|"FixedSize1ByteAligned"|100084
"catalog_returns"|0|12|"cr_catalog_page_sk"|"int"|4756|"Dictionary"|"FixedSize2ByteAligned"|219088
"catalog_returns"|0|13|"cr_ship_mode_sk"|"int"|20|"Dictionary"|"FixedSize1ByteAligned"|100144
"catalog_returns"|0|14|"cr_warehouse_sk"|"int"|5|"Dictionary"|"FixedSize1ByteAligned"|100084
"catalog_returns"|0|15|"cr_reason_sk"|"int"|35|"Dictionary"|"FixedSize1ByteAligned"|100204
