table_name|column_count|row_count|chunk_count|max_chunk_size
"call_center"|31|6|1|100000
"catalog_page"|9|11718|1|100000
"catalog_returns"|27|144067|2|100000
"catalog_sales"|34|1441548|15|100000
"customer"|18|100000|1|100000
"customer_address"|13|50000|1|100000
"customer_demographics"|9|1920800|20|100000
"date_dim"|28|73049|1|100000
"household_demographics"|5|7200|1|100000
"income_band"|3|20|1|100000
"inventory"|4|11745000|118|100000
"item"|22|18000|1|100000
"promotion"|19|300|1|100000
"reason"|3|35|1|100000
"ship_mode"|6|20|1|100000
"store"|29|12|1|100000
"store_returns"|20|287514|3|100000
"store_sales"|23|2880404|29|100000
"time_dim"|10|86400|1|100000
"warehouse"|14|5|1|100000
"web_page"|14|60|1|100000
"web_returns"|24|71763|1|100000
"web_sales"|34|719384|8|100000
"web_site"|26|30|1|100000
