QUERY_HASH,INPUT_ROWS,OUTPUT_ROWS,RUNTIME_NS
63ede41a3b239d2e,31951,31951,657318
8a500b8350e13fe5,366,366,7962
8a500b8350e13fe5,2864977,2864977,254625980
8a500b8350e13fe5,20,20,11804
8a500b8350e13fe5,24,24,11525
8a500b8350e13fe5,10,10,16204
e045c72cfee071ed,366,366,4470
e045c72cfee071ed,5519143,5519143,529834873
e045c72cfee071ed,2867400,2867400,251265423
65cf99f6be86c7f4,28800991,28800991,97272549
65cf99f6be86c7f4,2875432,2875432,9132959
65cf99f6be86c7f4,1,1,10058
c86892b6d2937a1c,30,30,4749
c86892b6d2937a1c,1920800,1920800,5095735
c86892b6d2937a1c,27348,27348,9499
c86892b6d2937a1c,1200,1200,4679
c86892b6d2937a1c,8767,8767,1834778
c86892b6d2937a1c,20,20,15227
c86892b6d2937a1c,24,24,5797
aecea1dd577191a6,366,366,9010
aecea1dd577191a6,1446590,1446590,140880315
aecea1dd577191a6,144593,144593,16994236
aecea1dd577191a6,200,200,7823
aecea1dd577191a6,45,45,12572
aecea1dd577191a6,129842,129842,18268921
aecea1dd577191a6,102926,102926,9217332
aecea1dd577191a6,1920800,1920800,5106981
ca927b305c8b0f73,425,425,19906
1c41ac70227eb819,366,366,8382
1c41ac70227eb819,287515,287515,25013434
1c41ac70227eb819,168741,168741,14429850
1c41ac70227eb819,12087,12087,28706
1c41ac70227eb819,10414,10414,2238905
741bc3f2dfb09756,157,157,6007
741bc3f2dfb09756,7200,7200,39113
741bc3f2dfb09756,918403,918403,98127042
741bc3f2dfb09756,94,94,8591
741bc3f2dfb09756,70184,70184,6887069
901db9dd2feb2d10,365,365,8311
901db9dd2feb2d10,5443210,5443210,523522144
901db9dd2feb2d10,102,102,15017
901db9dd2feb2d10,102000,102000,288253
24cc61038fcacf93,30,30,4680
24cc61038fcacf93,1800,1800,13550
24cc61038fcacf93,15809,15809,4923496
9ba0ff608aba8792,31,31,7473
9ba0ff608aba8792,29250,29250,6388161
9ba0ff608aba8792,334371,334371,36364763
9ba0ff608aba8792,102,102,12432
9ba0ff608aba8792,206,206,30313
c49841c711905e98,1920800,1920800,5451948
c49841c711905e98,250000,250000,365294
c49841c711905e98,366,366,5867
c49841c711905e98,5519143,5519143,616606184
c49841c711905e98,102,102,12572
5a7fd39201e63d24,214,214,9359
5a7fd39201e63d24,30,30,9080
5a7fd39201e63d24,262336,262336,29063230
5a7fd39201e63d24,259123,259123,24458231
5a7fd39201e63d24,102,102,12991
5a7fd39201e63d24,38760,38760,4032055
5a7fd39201e63d24,15860,15860,1785257
7ee6cff3a8c3d580,30,30,7054
7ee6cff3a8c3d580,1836,1836,17322
7ee6cff3a8c3d580,16160,16160,5193380
7ee6cff3a8c3d580,14107,14107,2206986
7ee6cff3a8c3d580,102,102,7055
7ee6cff3a8c3d580,13546,13546,1559515
105285333f5ba7f4,23675,23675,43584
105285333f5ba7f4,47706,47706,4430524
105285333f5ba7f4,45504,45504,8279723
105285333f5ba7f4,91,91,5308
105285333f5ba7f4,796046,796046,84554758
105285333f5ba7f4,14401261,14401261,41165889
105285333f5ba7f4,73049,73049,402381
105285333f5ba7f4,7197566,7197566,19039109
2e0ad00e44492b13,2319,2319,17461
2e0ad00e44492b13,4651,4651,1060398
2e0ad00e44492b13,4499,4499,1147147
2e0ad00e44492b13,120,120,4540
2e0ad00e44492b13,2457,2457,320941
2e0ad00e44492b13,5110,5110,563515
2e0ad00e44492b13,1717,1717,288952
76277e5ed4da0819,274,274,9638
76277e5ed4da0819,91,91,14039
76277e5ed4da0819,803599,803599,86751965
76277e5ed4da0819,404102,404102,36262160
76277e5ed4da0819,102,102,11734
76277e5ed4da0819,123194,123194,12079052
76277e5ed4da0819,0,0,3352
a203e0bb1c413813,366,366,4400
a203e0bb1c413813,1445718,1445718,132329730
a203e0bb1c413813,42,42,10756
a203e0bb1c413813,10,10,17322
a203e0bb1c413813,20,20,10896
747848d0ca9ebfbb,91,91,4470
747848d0ca9ebfbb,412620,412620,35792308
747848d0ca9ebfbb,44146,44146,6847396
747848d0ca9ebfbb,250000,250000,480958
77eb7251971f23d,1,1,8451
7a9fe6a252b82d52,24,24,19487
c1558ce7f598faf2,91,91,9848
c1558ce7f598faf2,211088,211088,22886772
c1558ce7f598faf2,17238,17238,3445281
c1558ce7f598faf2,250000,250000,447083
c1558ce7f598faf2,50202,50202,4259612
c1558ce7f598faf2,10,10,9290
a328efe777ccc703,1800,1800,9918
a328efe777ccc703,720,720,10197
a328efe777ccc703,14,14,14807
a328efe777ccc703,7061,7061,934886
48102a81fee54f33,180,180,11105
48102a81fee54f33,6000,6000,11315
48102a81fee54f33,7852,7852,2964742
10dbdaceb474245a,102000,102000,146815
10dbdaceb474245a,27440,27440,39393
10dbdaceb474245a,366,366,6496
10dbdaceb474245a,2867400,2867400,255491928
10dbdaceb474245a,500,500,13410
dfd5d73db008470,30,30,5727
dfd5d73db008470,1847,1847,13619
dfd5d73db008470,16100,16100,4925870
e9628864b4c79dc2,1920800,1920800,5236265
e9628864b4c79dc2,250000,250000,286088
e9628864b4c79dc2,365,365,4121
e9628864b4c79dc2,5470761,5470761,546204475
e9628864b4c79dc2,51,51,14808
e9628864b4c79dc2,677,677,80811
62abd1717043ab45,366,366,16204
62abd1717043ab45,557993,557993,58917113
62abd1717043ab45,32,32,8800
62abd1717043ab45,147716,147716,14742270
33a6c8baa243ee1a,1374966,1374966,775148
33a6c8baa243ee1a,1374768,1374768,699016
33a6c8baa243ee1a,1374815,1374815,711519
33a6c8baa243ee1a,1375524,1375524,725348
33a6c8baa243ee1a,1372592,1372592,699715
33a6c8baa243ee1a,1373693,1373693,704743
a5ed8e369e84a26a,102000,102000,147933
a5ed8e369e84a26a,27440,27440,40162
