QUERY_HASH,AGGREGATE_HASH,COLUMN_TYPE,TABLE_NAME,COLUMN_NAME,GROUP_BY_COLUMN_COUNT,AGGREGATE_COLUMN_COUNT,INPUT_ROWS,OUTPUT_ROWS,RUNTIME_NS,DESCRIPTION
bac00c0bdbf62ea,9853718627bb49d9,REFERENCE,customer,1,2,c_phone,6342,7,323945,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
bac00c0bdbf62ea,9853718627bb49d9,REFERENCE,customer,1,2,COUNT(*),6342,7,323945,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
bac00c0bdbf62ea,9853718627bb49d9,REFERENCE,customer,1,2,c_acctbal,6342,7,323945,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
2687bf4da454552b,bac94528f4cadd6,REFERENCE,customer,1,2,c_phone,6412,7,365852,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
2687bf4da454552b,bac94528f4cadd6,REFERENCE,customer,1,2,COUNT(*),6412,7,365852,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
2687bf4da454552b,bac94528f4cadd6,REFERENCE,customer,1,2,c_acctbal,6412,7,365852,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
2bd757c748d34189,d308c1a5ad96effb,REFERENCE,customer,1,2,c_phone,6481,7,327926,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
2bd757c748d34189,d308c1a5ad96effb,REFERENCE,customer,1,2,COUNT(*),6481,7,327926,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
2bd757c748d34189,d308c1a5ad96effb,REFERENCE,customer,1,2,c_acctbal,6481,7,327926,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
7ce8aa4cc8eabfd8,b201584fabba8512,REFERENCE,customer,1,2,c_phone,6344,7,381078,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
7ce8aa4cc8eabfd8,b201584fabba8512,REFERENCE,customer,1,2,COUNT(*),6344,7,381078,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
7ce8aa4cc8eabfd8,b201584fabba8512,REFERENCE,customer,1,2,c_acctbal,6344,7,381078,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
3bf533ddc6f54ed4,1708a7c21f2ca1e8,REFERENCE,customer,1,2,c_phone,6421,7,362849,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
3bf533ddc6f54ed4,1708a7c21f2ca1e8,REFERENCE,customer,1,2,COUNT(*),6421,7,362849,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
3bf533ddc6f54ed4,1708a7c21f2ca1e8,REFERENCE,customer,1,2,c_acctbal,6421,7,362849,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
74335a369db42f54,964c3772c820dd72,REFERENCE,customer,1,2,c_phone,6475,7,411811,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
74335a369db42f54,964c3772c820dd72,REFERENCE,customer,1,2,COUNT(*),6475,7,411811,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
74335a369db42f54,964c3772c820dd72,REFERENCE,customer,1,2,c_acctbal,6475,7,411811,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
aeebd3c094273d3e,d14e647fc24b335b,REFERENCE,customer,1,2,c_phone,6391,7,327786,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
aeebd3c094273d3e,d14e647fc24b335b,REFERENCE,customer,1,2,COUNT(*),6391,7,327786,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
aeebd3c094273d3e,d14e647fc24b335b,REFERENCE,customer,1,2,c_acctbal,6391,7,327786,"AggregateHash GroupBy ColumnIDs: 0 Aggregates: COUNT(*), SUM(c_acctbal)"
6730c267d3eac48a,d450115a62d63a4e,REFERENCE,supplier,1,1,s_name,3888,393,1138695,"AggregateHash GroupBy ColumnIDs: 26 Aggregates: COUNT(*)"
6730c267d3eac48a,d450115a62d63a4e,REFERENCE,lineitem,1,1,COUNT(*),3888,393,1138695,"AggregateHash GroupBy ColumnIDs: 26 Aggregates: COUNT(*)"
6ec3126b032024be,7f1a65117eb935ce,REFERENCE,supplier,1,1,s_name,3901,399,1141279,"AggregateHash GroupBy ColumnIDs: 26 Aggregates: COUNT(*)"
6ec3126b032024be,7f1a65117eb935ce,REFERENCE,lineitem,1,1,COUNT(*),3901,399,1141279,"AggregateHash GroupBy ColumnIDs: 26 Aggregates: COUNT(*)"
7324393c05ab5301,9ceac8f3748f6435,REFERENCE,supplier,1,1,s_name,3697,376,1074157,"AggregateHash GroupBy ColumnIDs: 26 Aggregates: COUNT(*)"
7324393c05ab5301,9ceac8f3748f6435,REFERENCE,lineitem,1,1,COUNT(*),3697,376,1074157,"AggregateHash GroupBy ColumnIDs: 26 Aggregates: COUNT(*)"
