QUERY_HASH,JOIN_MODE,LEFT_TABLE_NAME,LEFT_COLUMN_NAME,LEFT_TABLE_ROW_COUNT,RIGHT_TABLE_NAME,RIGHT_COLUMN_NAME,RIGHT_TABLE_ROW_COUNT,OUTPUT_ROWS,PREDICATE_COUNT,PRIMARY_PREDICATE,RUNTIME_NS
bac00c0bdbf62ea,AntiNullAsFalse,customer,c_custkey,19042,orders,o_custkey,1500000,6342,1,=,84878001
2687bf4da454552b,AntiNullAsFalse,customer,c_custkey,18961,orders,o_custkey,1500000,6412,1,=,85000581
2bd757c748d34189,AntiNullAsFalse,customer,c_custkey,19133,orders,o_custkey,1500000,6481,1,=,83929357
7ce8aa4cc8eabfd8,AntiNullAsFalse,customer,c_custkey,18942,orders,o_custkey,1500000,6344,1,=,87211687
3bf533ddc6f54ed4,AntiNullAsFalse,customer,c_custkey,19151,orders,o_custkey,1500000,6421,1,=,86633714
74335a369db42f54,AntiNullAsFalse,customer,c_custkey,19164,orders,o_custkey,1500000,6475,1,=,85248952
aeebd3c094273d3e,AntiNullAsFalse,customer,c_custkey,19072,orders,o_custkey,1500000,6391,1,=,85725230
6730c267d3eac48a,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,393,1,=,169795
6730c267d3eac48a,Inner,supplier,s_nationkey,393,nation,n_nationkey,1,393,1,=,76062
6730c267d3eac48a,Semi,supplier,s_suppkey,6001215,lineitem,l_suppkey,393,235635,1,=,138747710
6730c267d3eac48a,Inner,supplier,s_suppkey,148802,lineitem,l_suppkey,393,148802,1,=,13527512
6730c267d3eac48a,Semi,lineitem,l_orderkey,6001215,lineitem,l_orderkey,148802,703163,1,=,268716371
6730c267d3eac48a,AntiNullAsFalse,lineitem,l_orderkey,148802,lineitem,l_orderkey,493544,13167,2,=,147778484
6730c267d3eac48a,Semi,lineitem,l_orderkey,6001215,lineitem,l_orderkey,148802,703163,1,=,264868290
6730c267d3eac48a,Semi,lineitem,l_orderkey,13167,lineitem,l_orderkey,703163,7870,2,=,125521722
6730c267d3eac48a,Inner,orders,o_orderkey,729413,lineitem,l_orderkey,7870,3888,1,=,18667041
6ec3126b032024be,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,399,1,=,166932
6ec3126b032024be,Inner,supplier,s_nationkey,399,nation,n_nationkey,1,399,1,=,72500
6ec3126b032024be,Semi,supplier,s_suppkey,6001215,lineitem,l_suppkey,399,239562,1,=,134175329
6ec3126b032024be,Inner,supplier,s_suppkey,151237,lineitem,l_suppkey,399,151237,1,=,14376487
6ec3126b032024be,Semi,lineitem,l_orderkey,6001215,lineitem,l_orderkey,151237,713476,1,=,286415140
6ec3126b032024be,AntiNullAsFalse,lineitem,l_orderkey,151237,lineitem,l_orderkey,501591,13313,2,=,177801044
6ec3126b032024be,Semi,lineitem,l_orderkey,6001215,lineitem,l_orderkey,151237,713476,1,=,264673979
6ec3126b032024be,Semi,lineitem,l_orderkey,13313,lineitem,l_orderkey,713476,7909,2,=,128007043
6ec3126b032024be,Inner,orders,o_orderkey,729413,lineitem,l_orderkey,7909,3901,1,=,19145134
7324393c05ab5301,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,376,1,=,169097
7324393c05ab5301,Inner,supplier,s_nationkey,376,nation,n_nationkey,1,376,1,=,72430
7324393c05ab5301,Semi,supplier,s_suppkey,6001215,lineitem,l_suppkey,376,225244,1,=,133752204
7324393c05ab5301,Inner,supplier,s_suppkey,142196,lineitem,l_suppkey,376,142196,1,=,13838954
7324393c05ab5301,Semi,lineitem,l_orderkey,6001215,lineitem,l_orderkey,142196,673589,1,=,274538781
7324393c05ab5301,AntiNullAsFalse,lineitem,l_orderkey,142196,lineitem,l_orderkey,473097,12677,2,=,164537339
7324393c05ab5301,Semi,lineitem,l_orderkey,6001215,lineitem,l_orderkey,142196,673589,1,=,266122928
7324393c05ab5301,Semi,lineitem,l_orderkey,12677,lineitem,l_orderkey,673589,7589,2,=,124243406
7324393c05ab5301,Inner,orders,o_orderkey,729413,lineitem,l_orderkey,7589,3697,1,=,22584967
37e2ba0a1c4e865f,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,415,1,=,167770
37e2ba0a1c4e865f,Inner,supplier,s_nationkey,415,nation,n_nationkey,1,415,1,=,78297
37e2ba0a1c4e865f,Semi,supplier,s_suppkey,6001215,lineitem,l_suppkey,415,250206,1,=,137048503
37e2ba0a1c4e865f,Inner,supplier,s_suppkey,157994,lineitem,l_suppkey,415,157994,1,=,14163457
37e2ba0a1c4e865f,Semi,lineitem,l_orderkey,6001215,lineitem,l_orderkey,157994,743477,1,=,251492622
37e2ba0a1c4e865f,AntiNullAsFalse,lineitem,l_orderkey,157994,lineitem,l_orderkey,522499,14099,2,=,173700820
37e2ba0a1c4e865f,Semi,lineitem,l_orderkey,6001215,lineitem,l_orderkey,157994,743477,1,=,263565947
37e2ba0a1c4e865f,Semi,lineitem,l_orderkey,14099,lineitem,l_orderkey,743477,8423,2,=,136643887
37e2ba0a1c4e865f,Inner,orders,o_orderkey,729413,lineitem,l_orderkey,8423,4112,1,=,19800428
a17cb368eadced8f,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,380,1,=,168887
a17cb368eadced8f,Inner,supplier,s_nationkey,380,nation,n_nationkey,1,380,1,=,84373
a17cb368eadced8f,Semi,supplier,s_suppkey,6001215,lineitem,l_suppkey,380,227476,1,=,131038907
a17cb368eadced8f,Inner,supplier,s_suppkey,143707,lineitem,l_suppkey,380,143707,1,=,14409594
a17cb368eadced8f,Semi,lineitem,l_orderkey,6001215,lineitem,l_orderkey,143707,680326,1,=,251218129
a17cb368eadced8f,AntiNullAsFalse,lineitem,l_orderkey,143707,lineitem,l_orderkey,477976,12935,2,=,171294355
a17cb368eadced8f,Semi,lineitem,l_orderkey,6001215,lineitem,l_orderkey,143707,680326,1,=,237569574
a17cb368eadced8f,Semi,lineitem,l_orderkey,12935,lineitem,l_orderkey,680326,7670,2,=,119928057
a17cb368eadced8f,Inner,orders,o_orderkey,729413,lineitem,l_orderkey,7670,3777,1,=,23552610
bfb403aee0d212a,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,412,1,=,163089
bfb403aee0d212a,Inner,supplier,s_nationkey,412,nation,n_nationkey,1,412,1,=,69567
bfb403aee0d212a,Semi,supplier,s_suppkey,6001215,lineitem,l_suppkey,412,247032,1,=,133835111
bfb403aee0d212a,Inner,supplier,s_suppkey,156047,lineitem,l_suppkey,412,156047,1,=,14490964
