QUERY_HASH,JOIN_MODE,LEFT_TABLE_NAME,LEFT_COLUMN_NAME,LEFT_TABLE_ROW_COUNT,RIGHT_TABLE_NAME,RIGHT_COLUMN_NAME,RIGHT_TABLE_ROW_COUNT,OUTPUT_ROWS,PREDICATE_COUNT,PRIMARY_PREDICATE,RUNTIME_NS
bac00c0bdbf62ea,AntiNullAsFalse,customer,c_custkey,19042,orders,o_custkey,1500000,6342,1,=,85543240
2687bf4da454552b,AntiNullAsFalse,customer,c_custkey,18961,orders,o_custkey,1500000,6412,1,=,87099052
2bd757c748d34189,AntiNullAsFalse,customer,c_custkey,19133,orders,o_custkey,1500000,6481,1,=,88185292
7ce8aa4cc8eabfd8,AntiNullAsFalse,customer,c_custkey,18942,orders,o_custkey,1500000,6344,1,=,85398379
3bf533ddc6f54ed4,AntiNullAsFalse,customer,c_custkey,19151,orders,o_custkey,1500000,6421,1,=,84245576
74335a369db42f54,AntiNullAsFalse,customer,c_custkey,19164,orders,o_custkey,1500000,6475,1,=,88609674
aeebd3c094273d3e,AntiNullAsFalse,customer,c_custkey,19072,orders,o_custkey,1500000,6391,1,=,82349405
6730c267d3eac48a,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,393,1,=,170842
6730c267d3eac48a,Inner,supplier,s_nationkey,393,nation,n_nationkey,1,393,1,=,75503
6730c267d3eac48a,Semi,supplier,s_suppkey,6001215,lineitem,l_suppkey,393,235635,1,=,132311569
6730c267d3eac48a,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,393,1,=,170842
6730c267d3eac48a,Inner,supplier,s_nationkey,393,nation,n_nationkey,1,393,1,=,75503
6730c267d3eac48a,Inner,supplier,s_suppkey,148802,lineitem,l_suppkey,393,148802,1,=,13085102
6730c267d3eac48a,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,393,1,=,170842
6730c267d3eac48a,Inner,supplier,s_nationkey,393,nation,n_nationkey,1,393,1,=,75503
6730c267d3eac48a,Semi,supplier,s_suppkey,6001215,lineitem,l_suppkey,393,235635,1,=,132311569
6730c267d3eac48a,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,393,1,=,170842
6730c267d3eac48a,Inner,supplier,s_nationkey,393,nation,n_nationkey,1,393,1,=,75503
6730c267d3eac48a,Inner,supplier,s_suppkey,148802,lineitem,l_suppkey,393,148802,1,=,13085102
6730c267d3eac48a,Semi,lineitem,l_orderkey,6001215,lineitem,l_orderkey,148802,703163,1,=,257276697
6730c267d3eac48a,AntiNullAsFalse,lineitem,l_orderkey,148802,lineitem,l_orderkey,493544,13167,2,=,171161282
6730c267d3eac48a,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,393,1,=,170842
6730c267d3eac48a,Inner,supplier,s_nationkey,393,nation,n_nationkey,1,393,1,=,75503
6730c267d3eac48a,Semi,supplier,s_suppkey,6001215,lineitem,l_suppkey,393,235635,1,=,132311569
6730c267d3eac48a,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,393,1,=,170842
6730c267d3eac48a,Inner,supplier,s_nationkey,393,nation,n_nationkey,1,393,1,=,75503
6730c267d3eac48a,Inner,supplier,s_suppkey,148802,lineitem,l_suppkey,393,148802,1,=,13085102
6730c267d3eac48a,Semi,lineitem,l_orderkey,6001215,lineitem,l_orderkey,148802,703163,1,=,240230854
6730c267d3eac48a,Semi,lineitem,l_orderkey,13167,lineitem,l_orderkey,703163,7870,2,=,118655757
6730c267d3eac48a,Inner,orders,o_orderkey,729413,lineitem,l_orderkey,7870,3888,1,=,19195832
6ec3126b032024be,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,399,1,=,173288
6ec3126b032024be,Inner,supplier,s_nationkey,399,nation,n_nationkey,1,399,1,=,72989
6ec3126b032024be,Semi,supplier,s_suppkey,6001215,lineitem,l_suppkey,399,239562,1,=,133919835
6ec3126b032024be,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,399,1,=,173288
6ec3126b032024be,Inner,supplier,s_nationkey,399,nation,n_nationkey,1,399,1,=,72989
6ec3126b032024be,Inner,supplier,s_suppkey,151237,lineitem,l_suppkey,399,151237,1,=,13688709
6ec3126b032024be,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,399,1,=,173288
6ec3126b032024be,Inner,supplier,s_nationkey,399,nation,n_nationkey,1,399,1,=,72989
6ec3126b032024be,Semi,supplier,s_suppkey,6001215,lineitem,l_suppkey,399,239562,1,=,133919835
6ec3126b032024be,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,399,1,=,173288
6ec3126b032024be,Inner,supplier,s_nationkey,399,nation,n_nationkey,1,399,1,=,72989
6ec3126b032024be,Inner,supplier,s_suppkey,151237,lineitem,l_suppkey,399,151237,1,=,13688709
6ec3126b032024be,Semi,lineitem,l_orderkey,6001215,lineitem,l_orderkey,151237,713476,1,=,231873746
6ec3126b032024be,AntiNullAsFalse,lineitem,l_orderkey,151237,lineitem,l_orderkey,501591,13313,2,=,184859420
6ec3126b032024be,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,399,1,=,173288
6ec3126b032024be,Inner,supplier,s_nationkey,399,nation,n_nationkey,1,399,1,=,72989
6ec3126b032024be,Semi,supplier,s_suppkey,6001215,lineitem,l_suppkey,399,239562,1,=,133919835
6ec3126b032024be,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,399,1,=,173288
6ec3126b032024be,Inner,supplier,s_nationkey,399,nation,n_nationkey,1,399,1,=,72989
6ec3126b032024be,Inner,supplier,s_suppkey,151237,lineitem,l_suppkey,399,151237,1,=,13688709
6ec3126b032024be,Semi,lineitem,l_orderkey,6001215,lineitem,l_orderkey,151237,713476,1,=,292635941
6ec3126b032024be,Semi,lineitem,l_orderkey,13313,lineitem,l_orderkey,713476,7909,2,=,116696445
6ec3126b032024be,Inner,orders,o_orderkey,729413,lineitem,l_orderkey,7909,3901,1,=,19438686
7324393c05ab5301,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,376,1,=,173916
7324393c05ab5301,Inner,supplier,s_nationkey,376,nation,n_nationkey,1,376,1,=,68378
7324393c05ab5301,Semi,supplier,s_suppkey,6001215,lineitem,l_suppkey,376,225244,1,=,129578855
7324393c05ab5301,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,376,1,=,173916
7324393c05ab5301,Inner,supplier,s_nationkey,376,nation,n_nationkey,1,376,1,=,68378
7324393c05ab5301,Inner,supplier,s_suppkey,142196,lineitem,l_suppkey,376,142196,1,=,13109828
7324393c05ab5301,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,376,1,=,173916
7324393c05ab5301,Inner,supplier,s_nationkey,376,nation,n_nationkey,1,376,1,=,68378
7324393c05ab5301,Semi,supplier,s_suppkey,6001215,lineitem,l_suppkey,376,225244,1,=,129578855
7324393c05ab5301,Semi,supplier,s_nationkey,10000,nation,n_nationkey,1,376,1,=,173916
7324393c05ab5301,Inner,supplier,s_nationkey,376,nation,n_nationkey,1,376,1,=,68378
7324393c05ab5301,Inner,supplier,s_suppkey,142196,lineitem,l_suppkey,376,142196,1,=,13109828
