table_name|chunk_id|column_id|column_name|column_data_type|distinct_value_count|encoding_type|vector_compression_type|size_in_bytes
"customer"|0|0|"c_custkey"|"int"|100000|"Dictionary"|"FixedSize4ByteAligned"|800064
"customer"|0|1|"c_name"|"string"|100000|"Dictionary"|"FixedSize4ByteAligned"|6300096
"customer"|0|2|"c_address"|"string"|100000|"Dictionary"|"FixedSize4ByteAligned"|6747291
"customer"|0|3|"c_nationkey"|"int"|25|"Dictionary"|"FixedSize1ByteAligned"|100164
"customer"|0|4|"c_phone"|"string"|100000|"Dictionary"|"FixedSize4ByteAligned"|4400096
"customer"|0|5|"c_acctbal"|"float"|95501|"Dictionary"|"FixedSize4ByteAligned"|782068
"customer"|0|6|"c_mktsegment"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|100296
"customer"|0|7|"c_comment"|"string"|99992|"Dictionary"|"FixedSize4ByteAligned"|11748127
"customer"|1|0|"c_custkey"|"int"|50000|"Dictionary"|"FixedSize2ByteAligned"|300064
"customer"|1|1|"c_name"|"string"|50000|"Dictionary"|"FixedSize2ByteAligned"|3050096
"customer"|1|2|"c_address"|"string"|50000|"Dictionary"|"FixedSize2ByteAligned"|3272085
"customer"|1|3|"c_nationkey"|"int"|25|"Dictionary"|"FixedSize1ByteAligned"|50164
"customer"|1|4|"c_phone"|"string"|50000|"Dictionary"|"FixedSize2ByteAligned"|2100096
"customer"|1|5|"c_acctbal"|"float"|48901|"Dictionary"|"FixedSize2ByteAligned"|295668
"customer"|1|6|"c_mktsegment"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|50296
"customer"|1|7|"c_comment"|"string"|49996|"Dictionary"|"FixedSize2ByteAligned"|5776795
"lineitem"|0|0|"l_orderkey"|"int"|24896|"Dictionary"|"FixedSize2ByteAligned"|299648
"lineitem"|0|1|"l_partkey"|"int"|78682|"Dictionary"|"FixedSize4ByteAligned"|714792
"lineitem"|0|2|"l_suppkey"|"int"|10000|"Dictionary"|"FixedSize2ByteAligned"|240064
