QUERY_HASH|COLUMN_TYPE|TABLE_NAME|COLUMN_NAME|INPUT_ROWS|OUTPUT_ROWS|RUNTIME_NS|DESCRIPTION|SINGLE_INPUT_ROWS|SINGLE_OUTPUT_ROWS
"bac00c0bdbf62ea"|"REFERENCE"|"customer"|"c_phone"|68045|19042|13580378|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('24', '28', '26', '21', '20', '11', '27')"|150000|41912
"2687bf4da454552b"|"REFERENCE"|"customer"|"c_phone"|68036|18961|13939525|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('25', '10', '34', '27', '28', '14', '18')"|150000|41865
"2bd757c748d34189"|"REFERENCE"|"customer"|"c_phone"|67946|19133|13844186|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('14', '31', '21', '32', '25', '34', '28')"|150000|41972
"7ce8aa4cc8eabfd8"|"REFERENCE"|"customer"|"c_phone"|68204|18942|14170714|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('25', '20', '11', '30', '33', '22', '23')"|150000|41801
"3bf533ddc6f54ed4"|"REFERENCE"|"customer"|"c_phone"|67817|19151|14154231|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('34', '14', '18', '23', '26', '17', '19')"|150000|42096
"74335a369db42f54"|"REFERENCE"|"customer"|"c_phone"|68049|19164|14137608|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('24', '31', '32', '14', '28', '33', '11')"|150000|42083
"aeebd3c094273d3e"|"REFERENCE"|"customer"|"c_phone"|68034|19072|14665082|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('11', '27', '31', '18', '16', '13', '19')"|150000|42281
"6730c267d3eac48a"|"DATA"|"orders"|"o_orderstatus"|1500000|729413|8571255|"TableScan Impl: ColumnVsValue o_orderstatus = 'F'"|1500000|729413
"6730c267d3eac48a"|"DATA"|"nation"|"n_name"|25|1|14109|"TableScan Impl: ColumnVsValue n_name = 'IRAN'"|25|1
"6730c267d3eac48a"|"DATA"|"nation"|"n_name"|25|1|14109|"TableScan Impl: ColumnVsValue n_name = 'IRAN'"|25|1
"6730c267d3eac48a"|"DATA"|"nation"|"n_name"|25|1|14109|"TableScan Impl: ColumnVsValue n_name = 'IRAN'"|25|1
"6730c267d3eac48a"|"DATA"|"nation"|"n_name"|25|1|14109|"TableScan Impl: ColumnVsValue n_name = 'IRAN'"|25|1
"6730c267d3eac48a"|"DATA"|"nation"|"n_name"|25|1|14109|"TableScan Impl: ColumnVsValue n_name = 'IRAN'"|25|1
"6730c267d3eac48a"|"DATA"|"nation"|"n_name"|25|1|14109|"TableScan Impl: ColumnVsValue n_name = 'IRAN'"|25|1
"6730c267d3eac48a"|"DATA"|"nation"|"n_name"|25|1|14109|"TableScan Impl: ColumnVsValue n_name = 'IRAN'"|25|1
"6730c267d3eac48a"|"DATA"|"nation"|"n_name"|25|1|14109|"TableScan Impl: ColumnVsValue n_name = 'IRAN'"|25|1
"6730c267d3eac48a"|"DATA"|"nation"|"n_name"|25|1|14109|"TableScan Impl: ColumnVsValue n_name = 'IRAN'"|25|1
"6730c267d3eac48a"|"DATA"|"nation"|"n_name"|25|1|14109|"TableScan Impl: ColumnVsValue n_name = 'IRAN'"|25|1
"6730c267d3eac48a"|"DATA"|"nation"|"n_name"|25|1|14109|"TableScan Impl: ColumnVsValue n_name = 'IRAN'"|25|1
"6730c267d3eac48a"|"DATA"|"nation"|"n_name"|25|1|14109|"TableScan Impl: ColumnVsValue n_name = 'IRAN'"|25|1
"6ec3126b032024be"|"DATA"|"orders"|"o_orderstatus"|1500000|729413|8631811|"TableScan Impl: ColumnVsValue o_orderstatus = 'F'"|1500000|729413
"6ec3126b032024be"|"DATA"|"nation"|"n_name"|25|1|13899|"TableScan Impl: ColumnVsValue n_name = 'VIETNAM'"|25|1
"6ec3126b032024be"|"DATA"|"nation"|"n_name"|25|1|13899|"TableScan Impl: ColumnVsValue n_name = 'VIETNAM'"|25|1
"6ec3126b032024be"|"DATA"|"nation"|"n_name"|25|1|13899|"TableScan Impl: ColumnVsValue n_name = 'VIETNAM'"|25|1
"6ec3126b032024be"|"DATA"|"nation"|"n_name"|25|1|13899|"TableScan Impl: ColumnVsValue n_name = 'VIETNAM'"|25|1
"6ec3126b032024be"|"DATA"|"nation"|"n_name"|25|1|13899|"TableScan Impl: ColumnVsValue n_name = 'VIETNAM'"|25|1
"6ec3126b032024be"|"DATA"|"nation"|"n_name"|25|1|13899|"TableScan Impl: ColumnVsValue n_name = 'VIETNAM'"|25|1
"6ec3126b032024be"|"DATA"|"nation"|"n_name"|25|1|13899|"TableScan Impl: ColumnVsValue n_name = 'VIETNAM'"|25|1
"6ec3126b032024be"|"DATA"|"nation"|"n_name"|25|1|13899|"TableScan Impl: ColumnVsValue n_name = 'VIETNAM'"|25|1
"6ec3126b032024be"|"DATA"|"nation"|"n_name"|25|1|13899|"TableScan Impl: ColumnVsValue n_name = 'VIETNAM'"|25|1
"6ec3126b032024be"|"DATA"|"nation"|"n_name"|25|1|13899|"TableScan Impl: ColumnVsValue n_name = 'VIETNAM'"|25|1
"6ec3126b032024be"|"DATA"|"nation"|"n_name"|25|1|13899|"TableScan Impl: ColumnVsValue n_name = 'VIETNAM'"|25|1
"6ec3126b032024be"|"DATA"|"nation"|"n_name"|25|1|13899|"TableScan Impl: ColumnVsValue n_name = 'VIETNAM'"|25|1
"7324393c05ab5301"|"DATA"|"orders"|"o_orderstatus"|1500000|729413|8730991|"TableScan Impl: ColumnVsValue o_orderstatus = 'F'"|1500000|729413
"7324393c05ab5301"|"DATA"|"nation"|"n_name"|25|1|14039|"TableScan Impl: ColumnVsValue n_name = 'KENYA'"|25|1
"7324393c05ab5301"|"DATA"|"nation"|"n_name"|25|1|14039|"TableScan Impl: ColumnVsValue n_name = 'KENYA'"|25|1
"7324393c05ab5301"|"DATA"|"nation"|"n_name"|25|1|14039|"TableScan Impl: ColumnVsValue n_name = 'KENYA'"|25|1
"7324393c05ab5301"|"DATA"|"nation"|"n_name"|25|1|14039|"TableScan Impl: ColumnVsValue n_name = 'KENYA'"|25|1
"7324393c05ab5301"|"DATA"|"nation"|"n_name"|25|1|14039|"TableScan Impl: ColumnVsValue n_name = 'KENYA'"|25|1
"7324393c05ab5301"|"DATA"|"nation"|"n_name"|25|1|14039|"TableScan Impl: ColumnVsValue n_name = 'KENYA'"|25|1
"7324393c05ab5301"|"DATA"|"nation"|"n_name"|25|1|14039|"TableScan Impl: ColumnVsValue n_name = 'KENYA'"|25|1
"7324393c05ab5301"|"DATA"|"nation"|"n_name"|25|1|14039|"TableScan Impl: ColumnVsValue n_name = 'KENYA'"|25|1
"7324393c05ab5301"|"DATA"|"nation"|"n_name"|25|1|14039|"TableScan Impl: ColumnVsValue n_name = 'KENYA'"|25|1
"7324393c05ab5301"|"DATA"|"nation"|"n_name"|25|1|14039|"TableScan Impl: ColumnVsValue n_name = 'KENYA'"|25|1
"7324393c05ab5301"|"DATA"|"nation"|"n_name"|25|1|14039|"TableScan Impl: ColumnVsValue n_name = 'KENYA'"|25|1
"7324393c05ab5301"|"DATA"|"nation"|"n_name"|25|1|14039|"TableScan Impl: ColumnVsValue n_name = 'KENYA'"|25|1
"37e2ba0a1c4e865f"|"DATA"|"orders"|"o_orderstatus"|1500000|729413|8556796|"TableScan Impl: ColumnVsValue o_orderstatus = 'F'"|1500000|729413
"37e2ba0a1c4e865f"|"DATA"|"nation"|"n_name"|25|1|13619|"TableScan Impl: ColumnVsValue n_name = 'EGYPT'"|25|1
"37e2ba0a1c4e865f"|"DATA"|"nation"|"n_name"|25|1|13619|"TableScan Impl: ColumnVsValue n_name = 'EGYPT'"|25|1
"37e2ba0a1c4e865f"|"DATA"|"nation"|"n_name"|25|1|13619|"TableScan Impl: ColumnVsValue n_name = 'EGYPT'"|25|1
"37e2ba0a1c4e865f"|"DATA"|"nation"|"n_name"|25|1|13619|"TableScan Impl: ColumnVsValue n_name = 'EGYPT'"|25|1
"37e2ba0a1c4e865f"|"DATA"|"nation"|"n_name"|25|1|13619|"TableScan Impl: ColumnVsValue n_name = 'EGYPT'"|25|1
"37e2ba0a1c4e865f"|"DATA"|"nation"|"n_name"|25|1|13619|"TableScan Impl: ColumnVsValue n_name = 'EGYPT'"|25|1
"37e2ba0a1c4e865f"|"DATA"|"nation"|"n_name"|25|1|13619|"TableScan Impl: ColumnVsValue n_name = 'EGYPT'"|25|1
"37e2ba0a1c4e865f"|"DATA"|"nation"|"n_name"|25|1|13619|"TableScan Impl: ColumnVsValue n_name = 'EGYPT'"|25|1
"37e2ba0a1c4e865f"|"DATA"|"nation"|"n_name"|25|1|13619|"TableScan Impl: ColumnVsValue n_name = 'EGYPT'"|25|1
"37e2ba0a1c4e865f"|"DATA"|"nation"|"n_name"|25|1|13619|"TableScan Impl: ColumnVsValue n_name = 'EGYPT'"|25|1
"37e2ba0a1c4e865f"|"DATA"|"nation"|"n_name"|25|1|13619|"TableScan Impl: ColumnVsValue n_name = 'EGYPT'"|25|1
"37e2ba0a1c4e865f"|"DATA"|"nation"|"n_name"|25|1|13619|"TableScan Impl: ColumnVsValue n_name = 'EGYPT'"|25|1
"a17cb368eadced8f"|"DATA"|"orders"|"o_orderstatus"|1500000|729413|9111721|"TableScan Impl: ColumnVsValue o_orderstatus = 'F'"|1500000|729413
"a17cb368eadced8f"|"DATA"|"nation"|"n_name"|25|1|14248|"TableScan Impl: ColumnVsValue n_name = 'ETHIOPIA'"|25|1
"a17cb368eadced8f"|"DATA"|"nation"|"n_name"|25|1|14248|"TableScan Impl: ColumnVsValue n_name = 'ETHIOPIA'"|25|1
