QUERY_HASH,INPUT_ROWS,OUTPUT_ROWS,RUNTIME_NS
bac00c0bdbf62ea,150000,150000,326179
bac00c0bdbf62ea,1500000,1500000,2282139
2687bf4da454552b,150000,150000,331767
2687bf4da454552b,1500000,1500000,2269985
2bd757c748d34189,150000,150000,326389
2bd757c748d34189,1500000,1500000,2198603
7ce8aa4cc8eabfd8,150000,150000,428713
7ce8aa4cc8eabfd8,1500000,1500000,2195460
3bf533ddc6f54ed4,150000,150000,324643
3bf533ddc6f54ed4,1500000,1500000,2260137
74335a369db42f54,150000,150000,321570
74335a369db42f54,1500000,1500000,2113461
aeebd3c094273d3e,150000,150000,287835
aeebd3c094273d3e,1500000,1500000,2280671
6730c267d3eac48a,729413,729413,55387
6730c267d3eac48a,1,1,3911
6730c267d3eac48a,393,393,70754
6730c267d3eac48a,1,1,3911
6730c267d3eac48a,235635,235635,48250596
6730c267d3eac48a,1,1,3911
6730c267d3eac48a,393,393,70754
6730c267d3eac48a,1,1,3911
6730c267d3eac48a,1,1,3911
6730c267d3eac48a,393,393,70754
6730c267d3eac48a,1,1,3911
6730c267d3eac48a,235635,235635,48250596
6730c267d3eac48a,1,1,3911
6730c267d3eac48a,393,393,70754
6730c267d3eac48a,1,1,3911
6730c267d3eac48a,703163,703163,96847067
6730c267d3eac48a,1,1,3911
6730c267d3eac48a,393,393,70754
6730c267d3eac48a,1,1,3911
6730c267d3eac48a,235635,235635,48250596
6730c267d3eac48a,1,1,3911
6730c267d3eac48a,393,393,70754
6730c267d3eac48a,1,1,3911
6730c267d3eac48a,703163,703163,96420030
6ec3126b032024be,729413,729413,62442
6ec3126b032024be,1,1,3771
6ec3126b032024be,399,399,79415
6ec3126b032024be,1,1,3771
6ec3126b032024be,239562,239562,52456075
6ec3126b032024be,1,1,3771
6ec3126b032024be,399,399,79415
6ec3126b032024be,1,1,3771
6ec3126b032024be,1,1,3771
6ec3126b032024be,399,399,79415
6ec3126b032024be,1,1,3771
6ec3126b032024be,239562,239562,52456075
6ec3126b032024be,1,1,3771
6ec3126b032024be,399,399,79415
6ec3126b032024be,1,1,3771
6ec3126b032024be,713476,713476,91049245
6ec3126b032024be,1,1,3771
6ec3126b032024be,399,399,79415
6ec3126b032024be,1,1,3771
6ec3126b032024be,239562,239562,52456075
6ec3126b032024be,1,1,3771
6ec3126b032024be,399,399,79415
6ec3126b032024be,1,1,3771
6ec3126b032024be,713476,713476,100463327
7324393c05ab5301,729413,729413,61115
7324393c05ab5301,1,1,3632
7324393c05ab5301,376,376,71662
7324393c05ab5301,1,1,3632
7324393c05ab5301,225244,225244,47232245
7324393c05ab5301,1,1,3632
7324393c05ab5301,376,376,71662
7324393c05ab5301,1,1,3632
7324393c05ab5301,1,1,3632
7324393c05ab5301,376,376,71662
7324393c05ab5301,1,1,3632
7324393c05ab5301,225244,225244,47232245
7324393c05ab5301,1,1,3632
7324393c05ab5301,376,376,71662
7324393c05ab5301,1,1,3632
7324393c05ab5301,673589,673589,93477500
7324393c05ab5301,1,1,3632
7324393c05ab5301,376,376,71662
7324393c05ab5301,1,1,3632
7324393c05ab5301,225244,225244,47232245
7324393c05ab5301,1,1,3632
7324393c05ab5301,376,376,71662
7324393c05ab5301,1,1,3632
7324393c05ab5301,673589,673589,91341549
37e2ba0a1c4e865f,729413,729413,57274
37e2ba0a1c4e865f,1,1,3771
37e2ba0a1c4e865f,415,415,72011
37e2ba0a1c4e865f,1,1,3771
37e2ba0a1c4e865f,250206,250206,49890921
37e2ba0a1c4e865f,1,1,3771
37e2ba0a1c4e865f,415,415,72011
37e2ba0a1c4e865f,1,1,3771
37e2ba0a1c4e865f,1,1,3771
37e2ba0a1c4e865f,415,415,72011
37e2ba0a1c4e865f,1,1,3771
37e2ba0a1c4e865f,250206,250206,49890921
37e2ba0a1c4e865f,1,1,3771
37e2ba0a1c4e865f,415,415,72011
37e2ba0a1c4e865f,1,1,3771
37e2ba0a1c4e865f,743477,743477,99332246
37e2ba0a1c4e865f,1,1,3771
37e2ba0a1c4e865f,415,415,72011
37e2ba0a1c4e865f,1,1,3771
37e2ba0a1c4e865f,250206,250206,49890921
37e2ba0a1c4e865f,1,1,3771
37e2ba0a1c4e865f,415,415,72011
37e2ba0a1c4e865f,1,1,3771
37e2ba0a1c4e865f,743477,743477,103225934
a17cb368eadced8f,729413,729413,56226
a17cb368eadced8f,1,1,4051
a17cb368eadced8f,380,380,86678
a17cb368eadced8f,1,1,4051
a17cb368eadced8f,227476,227476,48020943
a17cb368eadced8f,1,1,4051
a17cb368eadced8f,380,380,86678
a17cb368eadced8f,1,1,4051
a17cb368eadced8f,1,1,4051
a17cb368eadced8f,380,380,86678
a17cb368eadced8f,1,1,4051
a17cb368eadced8f,227476,227476,48020943
a17cb368eadced8f,1,1,4051
a17cb368eadced8f,380,380,86678
a17cb368eadced8f,1,1,4051
a17cb368eadced8f,680326,680326,92389653
a17cb368eadced8f,1,1,4051
a17cb368eadced8f,380,380,86678
a17cb368eadced8f,1,1,4051
a17cb368eadced8f,227476,227476,48020943
a17cb368eadced8f,1,1,4051
a17cb368eadced8f,380,380,86678
a17cb368eadced8f,1,1,4051
a17cb368eadced8f,680326,680326,91993419
bfb403aee0d212a,729413,729413,52733
bfb403aee0d212a,1,1,3702
bfb403aee0d212a,412,412,44980
bfb403aee0d212a,1,1,3702
bfb403aee0d212a,247032,247032,47247401
bfb403aee0d212a,1,1,3702
bfb403aee0d212a,412,412,44980
bfb403aee0d212a,1,1,3702
bfb403aee0d212a,1,1,3702
bfb403aee0d212a,412,412,44980
bfb403aee0d212a,1,1,3702
bfb403aee0d212a,247032,247032,47247401
bfb403aee0d212a,1,1,3702
bfb403aee0d212a,412,412,44980
bfb403aee0d212a,1,1,3702
bfb403aee0d212a,736279,736279,100014359
bfb403aee0d212a,1,1,3702
bfb403aee0d212a,412,412,44980
bfb403aee0d212a,1,1,3702
bfb403aee0d212a,247032,247032,47247401
bfb403aee0d212a,1,1,3702
bfb403aee0d212a,412,412,44980
bfb403aee0d212a,1,1,3702
bfb403aee0d212a,736279,736279,97330887
98aa70b345defa5b,2233,2233,7264
98aa70b345defa5b,8932,8932,1227469
98aa70b345defa5b,2233,2233,7264
98aa70b345defa5b,8932,8932,1227469
98aa70b345defa5b,2233,2233,7264
98aa70b345defa5b,8932,8932,1227469
98aa70b345defa5b,10112,10112,3009441
98aa70b345defa5b,4548,4548,441005
98aa70b345defa5b,2233,2233,7264
98aa70b345defa5b,8932,8932,1227469
98aa70b345defa5b,2233,2233,7264
98aa70b345defa5b,8932,8932,1227469
98aa70b345defa5b,2233,2233,7264
98aa70b345defa5b,8932,8932,1227469
98aa70b345defa5b,10112,10112,3009441
98aa70b345defa5b,4548,4548,441005
98aa70b345defa5b,1,1,4610
445e33c234f835dc,2190,2190,6355
445e33c234f835dc,8760,8760,1246955
445e33c234f835dc,2190,2190,6355
445e33c234f835dc,8760,8760,1246955
445e33c234f835dc,2190,2190,6355
445e33c234f835dc,8760,8760,1246955
445e33c234f835dc,9987,9987,2822674
445e33c234f835dc,4492,4492,423544
445e33c234f835dc,2190,2190,6355
445e33c234f835dc,8760,8760,1246955
445e33c234f835dc,2190,2190,6355
445e33c234f835dc,8760,8760,1246955
445e33c234f835dc,2190,2190,6355
445e33c234f835dc,8760,8760,1246955
445e33c234f835dc,9987,9987,2822674
445e33c234f835dc,4492,4492,423544
445e33c234f835dc,1,1,4679
ec4f5aa44b3ce5b2,57311,57311,28218
ec4f5aa44b3ce5b2,114700,114700,19175996
ec4f5aa44b3ce5b2,57311,57311,28218
ec4f5aa44b3ce5b2,150000,150000,233215
ec4f5aa44b3ce5b2,25,25,6217
b6e90b19f6849df0,10000,10000,27450
b6e90b19f6849df0,1,1,4190
b6e90b19f6849df0,5,5,5518
b6e90b19f6849df0,29764,29764,2852638
b6e90b19f6849df0,1312,1312,5728
b6e90b19f6849df0,39342,39342,10051564
b6e90b19f6849df0,1312,1312,5728
b6e90b19f6849df0,11766,11766,2940154
b6e90b19f6849df0,1312,1312,5728
b6e90b19f6849df0,39342,39342,10051564
b6e90b19f6849df0,1312,1312,5728
b6e90b19f6849df0,25,25,6845
39db4fdfc7ced3a8,57683,57683,28916
39db4fdfc7ced3a8,115282,115282,19164821
39db4fdfc7ced3a8,57683,57683,28916
39db4fdfc7ced3a8,150000,150000,239990
39db4fdfc7ced3a8,25,25,4331
2339c1c426815457,2255,2255,6635
2339c1c426815457,9020,9020,1250238
2339c1c426815457,2255,2255,6635
2339c1c426815457,9020,9020,1250238
2339c1c426815457,2255,2255,6635
2339c1c426815457,9020,9020,1250238
2339c1c426815457,10317,10317,2962366
2339c1c426815457,4584,4584,445476
2339c1c426815457,2255,2255,6635
2339c1c426815457,9020,9020,1250238
2339c1c426815457,2255,2255,6635
2339c1c426815457,9020,9020,1250238
2339c1c426815457,2255,2255,6635
2339c1c426815457,9020,9020,1250238
2339c1c426815457,10317,10317,2962366
2339c1c426815457,4584,4584,445476
2339c1c426815457,1,1,4610
7892b628f929217a,10907,10907,12153
7892b628f929217a,327148,327148,59716882
7892b628f929217a,10907,10907,12153
7892b628f929217a,43628,43628,5820731
7892b628f929217a,1500000,1500000,3525531
7892b628f929217a,10907,10907,12153
7892b628f929217a,327148,327148,59716882
7892b628f929217a,10907,10907,12153
7892b628f929217a,10000,10000,71592
7892b628f929217a,25,25,7543
5ae3617d2dec126b,56934,56934,52454
5ae3617d2dec126b,56934,56934,52454
5ae3617d2dec126b,228021,228021,31551116
eb783ae587a58416,10876,10876,10896
eb783ae587a58416,326272,326272,57298894
eb783ae587a58416,10876,10876,10896
eb783ae587a58416,43504,43504,5766950
eb783ae587a58416,1500000,1500000,3331220
eb783ae587a58416,10876,10876,10896
eb783ae587a58416,326272,326272,57298894
eb783ae587a58416,10876,10876,10896
eb783ae587a58416,10000,10000,46028
eb783ae587a58416,25,25,5867
5555d4bceea41a30,10947,10947,10547
5555d4bceea41a30,326644,326644,54531747
5555d4bceea41a30,10947,10947,10547
5555d4bceea41a30,43788,43788,5877027
5555d4bceea41a30,1500000,1500000,3661940
5555d4bceea41a30,10947,10947,10547
5555d4bceea41a30,326644,326644,54531747
5555d4bceea41a30,10947,10947,10547
5555d4bceea41a30,10000,10000,40301
5555d4bceea41a30,25,25,6845
2b3b48f5f8c63576,10000,10000,21093
2b3b48f5f8c63576,1,1,3842
2b3b48f5f8c63576,5,5,6146
2b3b48f5f8c63576,30197,30197,3157724
2b3b48f5f8c63576,1350,1350,5168
2b3b48f5f8c63576,40199,40199,10247690
2b3b48f5f8c63576,1350,1350,5168
2b3b48f5f8c63576,12047,12047,2950911
2b3b48f5f8c63576,1350,1350,5168
2b3b48f5f8c63576,40199,40199,10247690
2b3b48f5f8c63576,1350,1350,5168
2b3b48f5f8c63576,25,25,7194
e4f956c780ffb22a,10000,10000,20395
e4f956c780ffb22a,1,1,4121
e4f956c780ffb22a,5,5,5518
e4f956c780ffb22a,29952,29952,2872195
e4f956c780ffb22a,1327,1327,6147
e4f956c780ffb22a,39742,39742,10152770
e4f956c780ffb22a,1327,1327,6147
e4f956c780ffb22a,12023,12023,2953635
e4f956c780ffb22a,1327,1327,6147
e4f956c780ffb22a,39742,39742,10152770
e4f956c780ffb22a,1327,1327,6147
e4f956c780ffb22a,25,25,7124
9762c3a887e47469,77313,77313,108750
9762c3a887e47469,200000,200000,342175
e7bb22c68d9903fa,200000,200000,523843
e7bb22c68d9903fa,200000,200000,523843
e7bb22c68d9903fa,200000,200000,523843
