table_name|column_name|data_type|nullable|distinct_values
"customer"|"c_custkey"|"int"|0|1.5e+06
"customer"|"c_name"|"string"|0|1.5e+06
"customer"|"c_address"|"string"|0|1.5e+06
"customer"|"c_nationkey"|"int"|0|25
"customer"|"c_phone"|"string"|0|1.49996e+06
"customer"|"c_acctbal"|"float"|0|818834
"customer"|"c_mktsegment"|"string"|0|5
"customer"|"c_comment"|"string"|0|1.49664e+06
"lineitem"|"l_orderkey"|"int"|0|1.5e+07
"lineitem"|"l_partkey"|"int"|0|2e+06
"lineitem"|"l_suppkey"|"int"|0|100000
"lineitem"|"l_linenumber"|"int"|0|7
"lineitem"|"l_quantity"|"float"|0|50
"lineitem"|"l_extendedprice"|"float"|0|1.35146e+06
"lineitem"|"l_discount"|"float"|0|11
"lineitem"|"l_tax"|"float"|0|9
"lineitem"|"l_returnflag"|"string"|0|3
"lineitem"|"l_linestatus"|"string"|0|2
"lineitem"|"l_shipdate"|"string"|0|2526
"lineitem"|"l_commitdate"|"string"|0|2466
"lineitem"|"l_receiptdate"|"string"|0|2555
"lineitem"|"l_shipinstruct"|"string"|0|4
"lineitem"|"l_shipmode"|"string"|0|7
"lineitem"|"l_comment"|"string"|0|3.43789e+07
"nation"|"n_nationkey"|"int"|0|25
"nation"|"n_name"|"string"|0|25
"nation"|"n_regionkey"|"int"|0|5
"nation"|"n_comment"|"string"|0|25
"orders"|"o_orderkey"|"int"|0|1.5e+07
"orders"|"o_custkey"|"int"|0|999982
"orders"|"o_orderstatus"|"string"|0|3
"orders"|"o_totalprice"|"float"|0|1.09522e+07
"orders"|"o_orderdate"|"string"|0|2406
"orders"|"o_orderpriority"|"string"|0|5
"orders"|"o_clerk"|"string"|0|10000
"orders"|"o_shippriority"|"int"|0|1
"orders"|"o_comment"|"string"|0|1.40972e+07
"part"|"p_partkey"|"int"|0|2e+06
"part"|"p_name"|"string"|0|1.99983e+06
"part"|"p_mfgr"|"string"|0|5
"part"|"p_brand"|"string"|0|25
"part"|"p_type"|"string"|0|150
"part"|"p_size"|"int"|0|50
"part"|"p_container"|"string"|0|40
"part"|"p_retailsize"|"float"|0|31681
"part"|"p_comment"|"string"|0|806046
"partsupp"|"ps_partkey"|"int"|0|2e+06
"partsupp"|"ps_suppkey"|"int"|0|100000
"partsupp"|"ps_availqty"|"int"|0|9999
"partsupp"|"ps_supplycost"|"float"|0|99901
"partsupp"|"ps_comment"|"string"|0|7.91416e+06
"region"|"r_regionkey"|"int"|0|5
"region"|"r_name"|"string"|0|5
"region"|"r_comment"|"string"|0|5
"supplier"|"s_suppkey"|"int"|0|100000
"supplier"|"s_name"|"string"|0|100000
"supplier"|"s_address"|"string"|0|100000
"supplier"|"s_nationkey"|"int"|0|25
"supplier"|"s_phone"|"string"|0|100000
"supplier"|"s_acctbal"|"float"|0|95588
"supplier"|"s_comment"|"string"|0|99983
