table_name|chunk_id|column_id|column_name|column_data_type|distinct_value_count|encoding_type|vector_compression_type|size_in_bytes
"customer"|0|0|"c_custkey"|"int"|65535|"Dictionary"|"FixedSize2ByteAligned"|393266
"customer"|0|1|"c_name"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|3997723
"customer"|0|2|"c_address"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|4290865
"customer"|0|3|"c_nationkey"|"int"|25|"Dictionary"|"FixedSize1ByteAligned"|65691
"customer"|0|4|"c_phone"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|2752558
"customer"|0|5|"c_acctbal"|"float"|63601|"Dictionary"|"FixedSize2ByteAligned"|385530
"customer"|0|6|"c_mktsegment"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|65823
"customer"|0|7|"c_comment"|"string"|65531|"Dictionary"|"FixedSize2ByteAligned"|7571643
"customer"|1|0|"c_custkey"|"int"|65535|"Dictionary"|"FixedSize2ByteAligned"|393266
"customer"|1|1|"c_name"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|3997723
"customer"|1|2|"c_address"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|4290601
"customer"|1|3|"c_nationkey"|"int"|25|"Dictionary"|"FixedSize1ByteAligned"|65691
"customer"|1|4|"c_phone"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|2752558
"customer"|1|5|"c_acctbal"|"float"|63515|"Dictionary"|"FixedSize2ByteAligned"|385186
"customer"|1|6|"c_mktsegment"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|65823
"customer"|1|7|"c_comment"|"string"|65526|"Dictionary"|"FixedSize2ByteAligned"|7565972
"customer"|2|0|"c_custkey"|"int"|65535|"Dictionary"|"FixedSize2ByteAligned"|393266
"customer"|2|1|"c_name"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|3997723
"customer"|2|2|"c_address"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|4287138
"customer"|2|3|"c_nationkey"|"int"|25|"Dictionary"|"FixedSize1ByteAligned"|65691
"customer"|2|4|"c_phone"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|2752558
"customer"|2|5|"c_acctbal"|"float"|63607|"Dictionary"|"FixedSize2ByteAligned"|385554
"customer"|2|6|"c_mktsegment"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|65823
"customer"|2|7|"c_comment"|"string"|65528|"Dictionary"|"FixedSize2ByteAligned"|7566976
"customer"|3|0|"c_custkey"|"int"|65535|"Dictionary"|"FixedSize2ByteAligned"|393266
"customer"|3|1|"c_name"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|3997723
"customer"|3|2|"c_address"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|4284690
"customer"|3|3|"c_nationkey"|"int"|25|"Dictionary"|"FixedSize1ByteAligned"|65691
"customer"|3|4|"c_phone"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|2752558
"customer"|3|5|"c_acctbal"|"float"|63582|"Dictionary"|"FixedSize2ByteAligned"|385454
"customer"|3|6|"c_mktsegment"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|65823
"customer"|3|7|"c_comment"|"string"|65528|"Dictionary"|"FixedSize2ByteAligned"|7571114
"customer"|4|0|"c_custkey"|"int"|65535|"Dictionary"|"FixedSize2ByteAligned"|393266
"customer"|4|1|"c_name"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|3997723
"customer"|4|2|"c_address"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|4288823
"customer"|4|3|"c_nationkey"|"int"|25|"Dictionary"|"FixedSize1ByteAligned"|65691
"customer"|4|4|"c_phone"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|2752558
"customer"|4|5|"c_acctbal"|"float"|63542|"Dictionary"|"FixedSize2ByteAligned"|385294
"customer"|4|6|"c_mktsegment"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|65823
"customer"|4|7|"c_comment"|"string"|65526|"Dictionary"|"FixedSize2ByteAligned"|7569977
"customer"|5|0|"c_custkey"|"int"|65535|"Dictionary"|"FixedSize2ByteAligned"|393266
"customer"|5|1|"c_name"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|3997723
"customer"|5|2|"c_address"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|4281077
"customer"|5|3|"c_nationkey"|"int"|25|"Dictionary"|"FixedSize1ByteAligned"|65691
"customer"|5|4|"c_phone"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|2752558
"customer"|5|5|"c_acctbal"|"float"|63647|"Dictionary"|"FixedSize2ByteAligned"|385714
"customer"|5|6|"c_mktsegment"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|65823
"customer"|5|7|"c_comment"|"string"|65529|"Dictionary"|"FixedSize2ByteAligned"|7552256
"customer"|6|0|"c_custkey"|"int"|65535|"Dictionary"|"FixedSize2ByteAligned"|393266
"customer"|6|1|"c_name"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|3997723
"customer"|6|2|"c_address"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|4283283
"customer"|6|3|"c_nationkey"|"int"|25|"Dictionary"|"FixedSize1ByteAligned"|65691
"customer"|6|4|"c_phone"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|2752558
"customer"|6|5|"c_acctbal"|"float"|63632|"Dictionary"|"FixedSize2ByteAligned"|385654
"customer"|6|6|"c_mktsegment"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|65823
"customer"|6|7|"c_comment"|"string"|65532|"Dictionary"|"FixedSize2ByteAligned"|7572261
"customer"|7|0|"c_custkey"|"int"|65535|"Dictionary"|"FixedSize2ByteAligned"|393266
"customer"|7|1|"c_name"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|3997723
"customer"|7|2|"c_address"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|4279871
"customer"|7|3|"c_nationkey"|"int"|25|"Dictionary"|"FixedSize1ByteAligned"|65691
"customer"|7|4|"c_phone"|"string"|65535|"Dictionary"|"FixedSize2ByteAligned"|2752558
"customer"|7|5|"c_acctbal"|"float"|63656|"Dictionary"|"FixedSize2ByteAligned"|385750
"customer"|7|6|"c_mktsegment"|"string"|5|"Dictionary"|"FixedSize1ByteAligned"|65823
"customer"|7|7|"c_comment"|"string"|65532|"Dictionary"|"FixedSize2ByteAligned"|7577515
