QUERY_HASH,INPUT_ROWS,OUTPUT_ROWS,RUNTIME_NS
7a9fe6a252b82d52,8,8,9150
63ede41a3b239d2e,17816,17816,563725
bac00c0bdbf62ea,1500000,1500000,4148208
bac00c0bdbf62ea,15000000,15000000,40980030
2687bf4da454552b,1500000,1500000,3929661
2687bf4da454552b,15000000,15000000,41185307
2bd757c748d34189,1500000,1500000,4212676
2bd757c748d34189,15000000,15000000,40991694
7ce8aa4cc8eabfd8,1500000,1500000,4118873
7ce8aa4cc8eabfd8,15000000,15000000,41506317
3bf533ddc6f54ed4,1500000,1500000,3992592
3bf533ddc6f54ed4,15000000,15000000,71421944
74335a369db42f54,1500000,1500000,4049935
74335a369db42f54,15000000,15000000,43563134
aeebd3c094273d3e,1500000,1500000,4218822
aeebd3c094273d3e,15000000,15000000,40038998
6730c267d3eac48a,7309184,7309184,787022
6730c267d3eac48a,1,1,4680
6730c267d3eac48a,4023,4023,710261
6730c267d3eac48a,2410357,2410357,401372641
6730c267d3eac48a,7184642,7184642,1020509828
6730c267d3eac48a,7184642,7184642,908757909
6ec3126b032024be,7309184,7309184,967573
6ec3126b032024be,1,1,4610
6ec3126b032024be,3987,3987,545635
6ec3126b032024be,2392654,2392654,383898006
6ec3126b032024be,7140760,7140760,906025682
6ec3126b032024be,7140760,7140760,906110964
7324393c05ab5301,7309184,7309184,791981
7324393c05ab5301,1,1,5239
7324393c05ab5301,4044,4044,561909
7324393c05ab5301,2426400,2426400,410834433
7324393c05ab5301,7241099,7241099,914943516
7324393c05ab5301,7241099,7241099,917116278
37e2ba0a1c4e865f,7309184,7309184,826763
37e2ba0a1c4e865f,1,1,4540
37e2ba0a1c4e865f,3981,3981,533272
37e2ba0a1c4e865f,2389148,2389148,403624957
37e2ba0a1c4e865f,7127334,7127334,904044858
37e2ba0a1c4e865f,7127334,7127334,903567602
a17cb368eadced8f,7309184,7309184,796800
a17cb368eadced8f,1,1,5238
a17cb368eadced8f,3945,3945,564074
a17cb368eadced8f,2364884,2364884,382206273
a17cb368eadced8f,7058648,7058648,995559115
a17cb368eadced8f,7058648,7058648,893335691
bfb403aee0d212a,7309184,7309184,804413
bfb403aee0d212a,1,1,4610
bfb403aee0d212a,4054,4054,534808
bfb403aee0d212a,2431421,2431421,421818723
bfb403aee0d212a,7248694,7248694,928116352
bfb403aee0d212a,7248694,7248694,917143448
ca927b305c8b0f73,61,61,10407
98aa70b345defa5b,21569,21569,47844
98aa70b345defa5b,86276,86276,11382760
98aa70b345defa5b,97665,97665,27207568
98aa70b345defa5b,44384,44384,3941534
98aa70b345defa5b,1,1,4400
445e33c234f835dc,21871,21871,38625
445e33c234f835dc,87484,87484,11587337
445e33c234f835dc,99714,99714,27690691
445e33c234f835dc,45021,45021,3989029
445e33c234f835dc,1,1,4470
b6e90b19f6849df0,100000,100000,274634
b6e90b19f6849df0,1,1,4121
b6e90b19f6849df0,5,5,6425
b6e90b19f6849df0,299493,299493,26842136
b6e90b19f6849df0,13225,13225,47285
